 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                si28          si29          si30          si31          si32          si33          si34          si35 
    154  5.325369291828E-02  3.545715E-16  2.417279E-15  1.065460E-13  3.654715E-13  1.006263E-11  5.438375E-13  5.529347E-13  8.999614E-16
    155  5.339308966526E-02  3.662699E-16  2.491431E-15  9.676380E-14  3.360638E-13  9.248555E-12  5.046400E-13  5.190191E-13  8.483198E-16
    156  5.362726198018E-02  3.867739E-16  2.627565E-15  8.436151E-14  2.990859E-13  8.204225E-12  4.548874E-13  4.765652E-13  7.844618E-16
    157  5.383816121000E-02  4.061751E-16  2.761566E-15  7.651106E-14  2.763216E-13  7.550354E-12  4.247290E-13  4.522916E-13  7.492856E-16
    158  5.403768730975E-02  4.252961E-16  2.897137E-15  7.121872E-14  2.617934E-13  7.131783E-12  4.067306E-13  4.399917E-13  7.333534E-16
    159  5.422986619970E-02  4.443176E-16  3.034636E-15  6.756911E-14  2.527034E-13  6.874670E-12  3.973196E-13  4.366515E-13  7.320798E-16
    160  5.440569294967E-02  4.621493E-16  3.165464E-15  6.513786E-14  2.475489E-13  6.737340E-12  3.941823E-13  4.398263E-13  7.413983E-16
    161  5.456994612052E-02  4.791126E-16  3.291416E-15  6.343775E-14  2.447772E-13  6.674556E-12  3.950320E-13  4.473698E-13  7.579470E-16
    162  5.485681963417E-02  5.091560E-16  3.517724E-15  6.135560E-14  2.432006E-13  6.673597E-12  4.030547E-13  4.691110E-13  8.018801E-16
    163  5.511708850657E-02  5.365563E-16  3.727622E-15  6.005664E-14  2.440132E-13  6.750524E-12  4.153243E-13  4.961737E-13  8.550606E-16
    164  5.536560227933E-02  5.624665E-16  3.929291E-15  5.908534E-14  2.458435E-13  6.862338E-12  4.297807E-13  5.267918E-13  9.149338E-16
    165  5.559867087093E-02  5.862462E-16  4.117351E-15  5.828297E-14  2.479892E-13  6.983603E-12  4.447601E-13  5.586468E-13  9.774122E-16
    166  5.582344501454E-02  6.086100E-16  4.297013E-15  5.754130E-14  2.501818E-13  7.105779E-12  4.599339E-13  5.916443E-13  1.042534E-15
    167  5.608267729631E-02  6.334591E-16  4.500259E-15  5.668513E-14  2.526774E-13  7.245305E-12  4.778357E-13  6.318745E-13  1.122633E-15
    168  5.632179590432E-02  6.553662E-16  4.683002E-15  5.587896E-14  2.548671E-13  7.368689E-12  4.944659E-13  6.707176E-13  1.200771E-15
    169  5.658568452696E-02  6.783986E-16  4.879142E-15  5.496988E-14  2.571422E-13  7.497224E-12  5.128239E-13  7.153756E-13  1.291596E-15
    170  5.682194908758E-02  6.980283E-16  5.049870E-15  5.414499E-14  2.590738E-13  7.605446E-12  5.292461E-13  7.569550E-13  1.377096E-15
    171  5.707748662895E-02  7.182716E-16  5.229675E-15  5.325099E-14  2.610929E-13  7.716067E-12  5.470398E-13  8.037332E-13  1.474319E-15
    172  5.730159219632E-02  7.352365E-16  5.383505E-15  5.247303E-14  2.628395E-13  7.808517E-12  5.627289E-13  8.464315E-13  1.563968E-15
    173  5.769211250520E-02  7.632609E-16  5.644307E-15  5.114684E-14  2.659183E-13  7.962234E-12  5.904479E-13  9.250683E-13  1.731164E-15
    174  5.804755660481E-02  7.872776E-16  5.874908E-15  4.998594E-14  2.688477E-13  8.097037E-12  6.163268E-13  1.001992E-12  1.897108E-15
