 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                y87           y88           y89           y90           y91           y92           y93           y94  
    145  5.177902725711E-02  2.180297E-22  1.069722E-19  5.740038E-17  5.281743E-16  2.034140E-15  1.554241E-15  7.442687E-15  5.864105E-15
    146  5.193558292952E-02  2.657552E-22  1.339105E-19  7.429325E-17  6.956864E-16  2.735541E-15  2.128466E-15  1.037785E-14  8.327683E-15
    147  5.207655208218E-02  3.157332E-22  1.629809E-19  9.319581E-17  8.866155E-16  3.552466E-15  2.809872E-15  1.392524E-14  1.136055E-14
    148  5.220437120847E-02  3.672839E-22  1.937935E-19  1.138978E-16  1.099242E-15  4.480234E-15  3.596951E-15  1.809137E-14  1.498255E-14
    149  5.240275279905E-02  4.597899E-22  2.509927E-19  1.539289E-16  1.519068E-15  6.357733E-15  5.224120E-15  2.688715E-14  2.279405E-14
    150  5.258707116153E-02  5.596290E-22  3.153637E-19  2.012517E-16  2.027814E-15  8.699398E-15  7.304318E-15  3.840493E-14  3.327202E-14
    151  5.276353482958E-02  6.675266E-22  3.878163E-19  2.571050E-16  2.642752E-15  1.160961E-14  9.952031E-15  5.340952E-14  4.724448E-14
    152  5.293536770993E-02  7.831412E-22  4.687339E-19  3.225244E-16  3.380275E-15  1.519721E-14  1.329370E-14  7.278330E-14  6.570267E-14
    153  5.310288915571E-02  9.042120E-22  5.571601E-19  3.975355E-16  4.246212E-15  1.952635E-14  1.742123E-14  9.725828E-14  8.955242E-14
    154  5.325369291828E-02  1.018135E-21  6.440567E-19  4.748496E-16  5.159653E-15  2.421593E-14  2.199422E-14  1.249675E-13  1.171425E-13
    155  5.339308966526E-02  1.125725E-21  7.296402E-19  5.545065E-16  6.121374E-15  2.927695E-14  2.703352E-14  1.561186E-13  1.487830E-13
    156  5.362726198018E-02  1.305741E-21  8.815869E-19  7.049982E-16  7.992805E-15  3.946313E-14  3.746929E-14  2.224161E-13  2.179854E-13
    157  5.383816121000E-02  1.459120E-21  1.022449E-18  8.564195E-16  9.946369E-15  5.053952E-14  4.920569E-14  2.993751E-13  3.008559E-13
    158  5.403768730975E-02  1.589956E-21  1.154118E-18  1.010214E-15  1.200353E-14  6.267738E-14  6.249484E-14  3.892364E-13  4.005887E-13
    159  5.422986619970E-02  1.698083E-21  1.275263E-18  1.164675E-15  1.414693E-14  7.583709E-14  7.737486E-14  4.929146E-13  5.190732E-13
    160  5.440569294967E-02  1.778614E-21  1.378093E-18  1.308590E-15  1.621937E-14  8.907055E-14  9.281549E-14  6.036514E-13  6.492237E-13
    161  5.456994612052E-02  1.836725E-21  1.465269E-18  1.442987E-15  1.822618E-14  1.023766E-13  1.088091E-13  7.215062E-13  7.914180E-13
    162  5.485681963417E-02  1.898011E-21  1.593262E-18  1.672143E-15  2.183043E-14  1.275743E-13  1.403774E-13  9.630542E-13  1.093651E-12
    163  5.511708850657E-02  1.911103E-21  1.680558E-18  1.869042E-15  2.514618E-14  1.523339E-13  1.729790E-13  1.223775E-12  1.433894E-12
    164  5.536560227933E-02  1.891007E-21  1.738206E-18  2.043154E-15  2.829094E-14  1.773931E-13  2.076031E-13  1.512660E-12  1.826361E-12
    165  5.559867087093E-02  1.847719E-21  1.770476E-18  2.192100E-15  3.118577E-14  2.019913E-13  2.432010E-13  1.821861E-12  2.262684E-12
