 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                na22          na23          na24          na25          na26          na27          na28          na29 
    119  4.750539400184E-02  5.265732E-19  2.797974E-15  4.838770E-15  1.375090E-13  1.384143E-14  4.540334E-15  4.770943E-18  3.773818E-20
    120  4.767210524850E-02  5.156878E-19  2.347041E-15  4.116597E-15  1.183482E-13  1.204896E-14  4.003652E-15  4.238551E-18  3.389919E-20
    121  4.783406579930E-02  5.096003E-19  1.977638E-15  3.515510E-15  1.020332E-13  1.050106E-14  3.532033E-15  3.766553E-18  3.044935E-20
    122  4.799263518131E-02  5.074139E-19  1.673655E-15  3.013120E-15  8.807780E-14  9.158623E-15  3.115789E-15  3.346432E-18  2.733862E-20
    123  4.815339657435E-02  5.085590E-19  1.415530E-15  2.579846E-15  7.574867E-14  7.955917E-15  2.736084E-15  2.959919E-18  2.443916E-20
    124  4.832264594384E-02  5.129644E-19  1.192029E-15  2.198739E-15  6.461992E-14  6.854847E-15  2.381833E-15  2.596330E-18  2.167713E-20
    125  4.849826454798E-02  5.205473E-19  1.004432E-15  1.873660E-15  5.485469E-14  5.874344E-15  2.059902E-15  2.263127E-18  1.911328E-20
    126  4.867786870736E-02  5.310533E-19  8.514904E-16  1.604346E-15  4.651136E-14  5.023866E-15  1.774567E-15  1.965307E-18  1.679211E-20
    127  4.885872256535E-02  5.440815E-19  7.301902E-16  1.387427E-15  3.956233E-14  4.304656E-15  1.527710E-15  1.705520E-18  1.474169E-20
    128  4.903755607841E-02  5.590933E-19  6.365387E-16  1.217564E-15  3.391921E-14  3.711764E-15  1.319296E-15  1.484454E-18  1.297570E-20
    129  4.921259737621E-02  5.756222E-19  5.653908E-16  1.086942E-15  2.940391E-14  3.230404E-15  1.145824E-15  1.299097E-18  1.147814E-20
    130  4.938368810460E-02  5.933791E-19  5.117092E-16  9.874646E-16  2.580982E-14  2.841869E-15  1.002094E-15  1.144493E-18  1.021607E-20
    131  4.955132280349E-02  6.122056E-19  4.714024E-16  9.123660E-16  2.295544E-14  2.529182E-15  8.831422E-16  1.015789E-18  9.155706E-21
    132  4.971624312404E-02  6.320345E-19  4.413428E-16  8.563710E-16  2.069430E-14  2.278376E-15  7.847659E-16  9.088238E-19  8.267475E-21
    133  4.987811857735E-02  6.527128E-19  4.193206E-16  8.157112E-16  1.892303E-14  2.079635E-15  7.040828E-16  8.207707E-19  7.531785E-21
    134  5.003799836445E-02  6.743894E-19  4.034198E-16  7.870364E-16  1.753930E-14  1.922698E-15  6.377471E-16  7.481956E-19  6.922679E-21
    135  5.019682549602E-02  6.970664E-19  3.923423E-16  7.680728E-16  1.647694E-14  1.801178E-15  5.837985E-16  6.891820E-19  6.427108E-21
    136  5.035511419132E-02  7.207901E-19  3.850875E-16  7.570446E-16  1.568219E-14  1.709757E-15  5.405485E-16  6.420431E-19  6.033105E-21
    137  5.051299755300E-02  7.455778E-19  3.808875E-16  7.525711E-16  1.511303E-14  1.644266E-15  5.066793E-16  6.054688E-19  5.731529E-21
    138  5.067010535678E-02  7.713737E-19  3.791331E-16  7.535275E-16  1.473564E-14  1.601327E-15  4.811421E-16  5.784187E-19  5.515231E-21
    139  5.082726902819E-02  7.983288E-19  3.793246E-16  7.590101E-16  1.451926E-14  1.577803E-15  4.628605E-16  5.598135E-19  5.376643E-21
    140  5.098506829486E-02  8.265787E-19  3.810894E-16  7.683491E-16  1.444089E-14  1.571379E-15  4.510475E-16  5.488859E-19  5.310798E-21
    141  5.114361869269E-02  8.561947E-19  3.841325E-16  7.810055E-16  1.448257E-14  1.580267E-15  4.451165E-16  5.450818E-19  5.314477E-21
    142  5.130328078870E-02  8.873074E-19  3.882230E-16  7.965718E-16  1.462979E-14  1.603041E-15  4.445862E-16  5.479669E-19  5.385572E-21
    143  5.146205644840E-02  9.195769E-19  3.931018E-16  8.144594E-16  1.486707E-14  1.638026E-15  4.489966E-16  5.570667E-19  5.520818E-21
    144  5.162089365231E-02  9.532384E-19  3.986231E-16  8.344351E-16  1.518372E-14  1.684169E-15  4.579413E-16  5.720259E-19  5.718793E-21
    145  5.177902725711E-02  9.881793E-19  4.046211E-16  8.561344E-16  1.556847E-14  1.740245E-15  4.710328E-16  5.924609E-19  5.977193E-21
    146  5.193558292952E-02  1.024374E-18  4.109855E-16  8.793228E-16  1.601260E-14  1.805245E-15  4.879170E-16  6.180111E-19  6.293716E-21
    147  5.207655208218E-02  1.058296E-18  4.169820E-16  9.014472E-16  1.646013E-14  1.871234E-15  5.062803E-16  6.454064E-19  6.630402E-21
    148  5.220437120847E-02  1.090175E-18  4.225845E-16  9.224295E-16  1.690154E-14  1.936869E-15  5.254279E-16  6.737949E-19  6.978685E-21
    149  5.240275279905E-02  1.141862E-18  4.315113E-16  9.565963E-16  1.764858E-14  2.049220E-15  5.597170E-16  7.245066E-19  7.602227E-21
    150  5.258707116153E-02  1.192407E-18  4.399764E-16  9.899457E-16  1.840496E-14  2.164610E-15  5.964531E-16  7.789060E-19  8.275345E-21
    151  5.276353482958E-02  1.243211E-18  4.481709E-16  1.023229E-15  1.918172E-14  2.284789E-15  6.359933E-16  8.376829E-19  9.008707E-21
    152  5.293536770993E-02  1.295077E-18  4.561856E-16  1.056844E-15  1.998503E-14  2.410834E-15  6.786205E-16  9.013872E-19  9.811181E-21
    153  5.310288915571E-02  1.348051E-18  4.639942E-16  1.090717E-15  2.081127E-14  2.542301E-15  7.241634E-16  9.698774E-19  1.068291E-20
    154  5.325369291828E-02  1.397850E-18  4.709873E-16  1.122085E-15  2.158988E-14  2.667854E-15  7.685658E-16  1.037093E-18  1.154730E-20
    155  5.339308966526E-02  1.445766E-18  4.774016E-16  1.151807E-15  2.233866E-14  2.790097E-15  8.125714E-16  1.104139E-18  1.241808E-20
    156  5.362726198018E-02  1.530479E-18  4.880067E-16  1.203192E-15  2.365675E-14  3.008811E-15  8.930346E-16  1.227825E-18  1.404594E-20
    157  5.383816121000E-02  1.611718E-18  4.973352E-16  1.251042E-15  2.490953E-14  3.220776E-15  9.729619E-16  1.352050E-18  1.570778E-20
    158  5.403768730975E-02  1.693055E-18  5.058865E-16  1.297508E-15  2.614882E-14  3.434397E-15  1.055316E-15  1.481417E-18  1.746534E-20
    159  5.422986619970E-02  1.775491E-18  5.137650E-16  1.343054E-15  2.738585E-14  3.651740E-15  1.140918E-15  1.617342E-18  1.934070E-20
    160  5.440569294967E-02  1.854376E-18  5.205868E-16  1.385137E-15  2.854913E-14  3.860041E-15  1.224648E-15  1.751701E-18  2.122226E-20
    161  5.456994612052E-02  1.931055E-18  5.265678E-16  1.424607E-15  2.965894E-14  4.062484E-15  1.307603E-15  1.886168E-18  2.313217E-20
    162  5.485681963417E-02  2.071464E-18  5.359202E-16  1.493118E-15  3.163239E-14  4.432150E-15  1.463155E-15  2.141870E-18  2.683544E-20
    163  5.511708850657E-02  2.205674E-18  5.430043E-16  1.553925E-15  3.344150E-14  4.783167E-15  1.615941E-15  2.397545E-18  3.063014E-20
    164  5.536560227933E-02  2.339179E-18  5.483619E-16  1.609834E-15  3.516130E-14  5.129070E-15  1.771573E-15  2.662540E-18  3.465687E-20
    165  5.559867087093E-02  2.468526E-18  5.520508E-16  1.659655E-15  3.674845E-14  5.460346E-15  1.925607E-15  2.929327E-18  3.880474E-20
    166  5.582344501454E-02  2.597109E-18  5.543985E-16  1.705110E-15  3.824937E-14  5.785348E-15  2.081635E-15  3.204037E-18  4.317070E-20
    167  5.608267729631E-02  2.749464E-18  5.556291E-16  1.753867E-15  3.992782E-14  6.164326E-15  2.270091E-15  3.541844E-18  4.866867E-20
    168  5.632179590432E-02  2.893602E-18  5.554313E-16  1.795191E-15  4.141803E-14  6.516391E-15  2.451755E-15  3.873628E-18  5.420346E-20
    169  5.658568452696E-02  3.056809E-18  5.538642E-16  1.836840E-15  4.299642E-14  6.907198E-15  2.661112E-15  4.263292E-18  6.086753E-20
    170  5.682194908758E-02  3.206827E-18  5.513925E-16  1.870798E-15  4.435173E-14  7.259016E-15  2.856702E-15  4.634194E-18  6.736814E-20
    171  5.707748662895E-02  3.373618E-18  5.477275E-16  1.904269E-15  4.575974E-14  7.641919E-15  3.077387E-15  5.060370E-18  7.501821E-20
    172  5.730159219632E-02  3.524095E-18  5.437747E-16  1.931069E-15  4.694814E-14  7.980050E-15  3.279139E-15  5.456868E-18  8.230115E-20
    173  5.769211250520E-02  3.797018E-18  5.355120E-16  1.972791E-15  4.892835E-14  8.576263E-15  3.650675E-15  6.203361E-18  9.641955E-20
    174  5.804755660481E-02  4.058783E-18  5.267472E-16  2.005962E-15  5.064231E-14  9.128314E-15  4.012855E-15  6.950389E-18  1.110470E-19
