 *                                      
 * expansion:  temp0=  1.000E+10 den0=  3.000E+06 temp_stop=  1.000E+07
 *          time                be9           be10          be11          be12          b8            b9            b10           b11  
    142  5.130328078870E-02  8.957283E-13  3.627428E-16  1.252451E-20  4.523508E-25  1.323046E-26  1.678333E-18  5.173594E-15  3.018239E-13
    143  5.146205644840E-02  8.949968E-13  3.627428E-16  1.252441E-20  4.500412E-25  1.206932E-26  1.605420E-18  5.083199E-15  3.069483E-13
    144  5.162089365231E-02  8.942754E-13  3.627428E-16  1.252431E-20  4.477425E-25  1.099957E-26  1.535150E-18  4.992937E-15  3.119063E-13
    145  5.177902725711E-02  8.935659E-13  3.627428E-16  1.252421E-20  4.454657E-25  1.001928E-26  1.467755E-18  4.903253E-15  3.166487E-13
    146  5.193558292952E-02  8.928690E-13  3.627428E-16  1.252412E-20  4.432230E-25  9.123065E-27  1.403284E-18  4.814312E-15  3.211329E-13
    147  5.207655208218E-02  8.922459E-13  3.627428E-16  1.252403E-20  4.412132E-25  8.377199E-27  1.347207E-18  4.734327E-15  3.249630E-13
    148  5.220437120847E-02  8.916837E-13  3.627428E-16  1.252395E-20  4.393988E-25  7.748096E-27  1.297957E-18  4.661936E-15  3.282451E-13
    149  5.240275279905E-02  8.908142E-13  3.627428E-16  1.252382E-20  4.365975E-25  6.854230E-27  1.224420E-18  4.549828E-15  3.329386E-13
    150  5.258707116153E-02  8.900069E-13  3.627428E-16  1.252371E-20  4.340108E-25  6.106254E-27  1.159132E-18  4.445944E-15  3.368201E-13
    151  5.276353482958E-02  8.892320E-13  3.627428E-16  1.252360E-20  4.315487E-25  5.458189E-27  1.099251E-18  4.346722E-15  3.400531E-13
    152  5.293536770993E-02  8.884735E-13  3.627428E-16  1.252349E-20  4.291646E-25  4.885675E-27  1.043309E-18  4.250318E-15  3.427042E-13
    153  5.310288915571E-02  8.877285E-13  3.627428E-16  1.252338E-20  4.268530E-25  4.378581E-27  9.909345E-19  4.156531E-15  3.447759E-13
    154  5.325369291828E-02  8.870522E-13  3.627428E-16  1.252329E-20  4.247828E-25  3.961839E-27  9.455551E-19  4.072297E-15  3.461798E-13
    155  5.339308966526E-02  8.864218E-13  3.627428E-16  1.252320E-20  4.228780E-25  3.607704E-27  9.050534E-19  3.994600E-15  3.470639E-13
    156  5.362726198018E-02  8.853506E-13  3.627428E-16  1.252305E-20  4.196975E-25  3.074639E-27  8.400576E-19  3.864544E-15  3.475990E-13
    157  5.383816121000E-02  8.843719E-13  3.627428E-16  1.252292E-20  4.168536E-25  2.654104E-27  7.846215E-19  3.747861E-15  3.470066E-13
    158  5.403768730975E-02  8.834349E-13  3.627428E-16  1.252279E-20  4.141807E-25  2.303459E-27  7.348398E-19  3.638100E-15  3.454623E-13
    159  5.422986619970E-02  8.825245E-13  3.627428E-16  1.252267E-20  4.116225E-25  2.005776E-27  6.893867E-19  3.533418E-15  3.430554E-13
    160  5.440569294967E-02  8.816865E-13  3.627428E-16  1.252256E-20  4.092958E-25  1.764815E-27  6.499414E-19  3.438859E-15  3.400723E-13
    161  5.456994612052E-02  8.809006E-13  3.627428E-16  1.252246E-20  4.071341E-25  1.564530E-27  6.149310E-19  3.351804E-15  3.366232E-13
    162  5.485681963417E-02  8.795246E-13  3.627428E-16  1.252228E-20  4.033860E-25  1.266247E-27  5.580267E-19  3.203549E-15  3.291608E-13
    163  5.511708850657E-02  8.782761E-13  3.627428E-16  1.252212E-20  4.000154E-25  1.045118E-27  5.109970E-19  3.074066E-15  3.209695E-13
    164  5.536560227933E-02  8.770869E-13  3.627428E-16  1.252196E-20  3.968233E-25  8.712121E-28  4.700399E-19  2.955651E-15  3.120976E-13
    165  5.559867087093E-02  8.759758E-13  3.627428E-16  1.252181E-20  3.938528E-25  7.359521E-28  4.349633E-19  2.849672E-15  3.030433E-13
    166  5.582344501454E-02  8.749073E-13  3.627428E-16  1.252167E-20  3.910090E-25  6.266608E-28  4.039290E-19  2.751994E-15  2.937732E-13
    167  5.608267729631E-02  8.736800E-13  3.627428E-16  1.252151E-20  3.877548E-25  5.222290E-28  3.713250E-19  2.645043E-15  2.826372E-13
    168  5.632179590432E-02  8.725527E-13  3.627428E-16  1.252136E-20  3.847770E-25  4.427421E-28  3.439988E-19  2.551620E-15  2.721070E-13
    169  5.658568452696E-02  8.713127E-13  3.627428E-16  1.252119E-20  3.815174E-25  3.701436E-28  3.165523E-19  2.453847E-15  2.603376E-13
    170  5.682194908758E-02  8.702050E-13  3.627428E-16  1.252105E-20  3.786224E-25  3.160445E-28  2.941088E-19  2.370576E-15  2.497639E-13
    171  5.707748662895E-02  8.690084E-13  3.627428E-16  1.252088E-20  3.755160E-25  2.669163E-28  2.718254E-19  2.284514E-15  2.383652E-13
    172  5.730159219632E-02  8.679590E-13  3.627428E-16  1.252074E-20  3.728127E-25  2.304356E-28  2.537939E-19  2.212075E-15  2.284506E-13
    173  5.769211250520E-02  8.661266E-13  3.627428E-16  1.252050E-20  3.681483E-25  1.786025E-28  2.252922E-19  2.091589E-15  2.114407E-13
    174  5.804755660481E-02  8.644509E-13  3.627428E-16  1.252027E-20  3.639537E-25  1.416377E-28  2.021410E-19  1.987314E-15  1.963464E-13
